,center,trials_list,count,End,Not Yet recruiting,Recruiting,position,lat,long
212,CHRU Brest Brest 29200,['NCT04705818'],1,,['NCT04705818'],,"48.4014634, -4.527764299999999",48.4014634,-4.527764299999999
213,CHRU Brest 29200,['NCT04704934'],1,,,['NCT04704934'],"48.4007028, -4.458444",48.4007028,-4.458444
214,CHR Metz-Thionville Metz cedex 03 57085,['NCT04622319'],1,,,['NCT04622319'],"49.3494114, 6.156671999999999",49.3494114,6.156671999999999
215,CHR Metz Thionville 45001,['NCT04027868'],1,,['NCT04027868'],,"49.3494114, 6.156671999999999",49.3494114,6.156671999999999
216,CHD Vendée La Roche-sur-Yon 85925,['NCT03865511'],1,,['NCT03865511'],,"46.670511, -1.426442",46.670511,-1.426442
217,CH de Cholet Cholet 49300,['NCT03865511'],1,,,['NCT03865511'],"47.04223440000001, -0.8962863000000001",47.04223440000001,-0.8962863000000001
218,CHU Amiens-Picardie Amiens 80054,['NCT05049044'],1,,,['NCT05049044'],"49.8726347, 2.2536247",49.8726347,2.2536247
219,CH de Bigorre Tarbes Tarbes 65013,['NCT05049044'],1,,,['NCT05049044'],"43.2206175, 0.0551684",43.2206175,0.0551684
220,CH de Bigorre Tarbes Cedex 9 65013,['NCT05025514'],1,,,['NCT05025514'],"43.2206175, 0.0551684",43.2206175,0.0551684
221,CH d'Auch Auch 32008,['NCT05025514'],1,,,['NCT05025514'],"43.6306927, 0.5755612999999999",43.6306927,0.5755612999999999
222,CH Le Mans Le Mans 72000,['NCT03865511'],1,,,['NCT03865511'],"48.0152927, 0.1773646",48.0152927,0.1773646
223,CH DU MOENCHSBERG - Hôpital Emile Muller Mulhouse 68051,['NCT03865511'],1,,['NCT03865511'],,"47.7262425, 7.3438251",47.7262425,7.3438251
224,APHM - Hopital Nord Marseille 13915,['NCT04656652'],1,,,['NCT04656652'],"43.296482, 5.36978",43.296482,5.36978
225,CHRU de Brest Brest 29200,['NCT03795207'],1,,['NCT03795207'],,"48.3927799, -4.486178",48.3927799,-4.486178
226,CHU Hôpital Nord Saint-Étienne 42055,['NCT05049044'],1,,,['NCT05049044'],"45.4760329, 4.3678168",45.4760329,4.3678168
227,CROMG Agen 47000,['NCT04027868'],1,,['NCT04027868'],,"44.2082671, 0.6138605",44.2082671,0.6138605
228,CHU Timone Marseille 13385,['NCT04042701'],1,,,['NCT04042701'],"43.2901133, 5.4021953",43.2901133,5.4021953
229,CHU de Rennes - Hopital Pontchaillou Rennes 35033,['NCT04912687'],1,,['NCT04912687'],,"48.1209013, -1.6945449",48.1209013,-1.6945449
230,CHU de Poitiers Poitiers 86021,['NCT04622319'],1,,,['NCT04622319'],"46.5568835, 0.3829202",46.5568835,0.3829202
231,CHU de Poitier Pole regional de Cancerologie Poitiers 86000,['NCT04656652'],1,,,['NCT04656652'],"46.5585959, 0.3836591",46.5585959,0.3836591
232,CHU de Nantes Nantes 44000,['NCT03865511'],1,,,['NCT03865511'],"47.212046, -1.5543264",47.212046,-1.5543264
233,CHU de Limoges Limoges 87042,['NCT04027868'],1,,['NCT04027868'],,"45.8125683, 1.2353794",45.8125683,1.2353794
234,CHU Toulouse Hopital Larrey Toulouse 31059,['NCT04656652'],1,,,['NCT04656652'],"43.5525934, 1.4527024",43.5525934,1.4527024
235,CHU Strasbourg Strasbourg 67091,['NCT04912687'],1,,['NCT04912687'],,"48.5933098, 7.707158000000001",48.5933098,7.707158000000001
236,CHU La Réunion Site Nord Saint-Denis 97411,['NCT05049044'],1,,,['NCT05049044'],"48.936181, 2.357443",48.936181,2.357443
237,CHU Ponchaillou Rennes 35000,['NCT05049044'],1,,,['NCT05049044'],"48.1209013, -1.6945449",48.1209013,-1.6945449
238,CHU Poitiers Poitiers 86021,['NCT04912687'],1,,['NCT04912687'],,"46.5568835, 0.3829202",46.5568835,0.3829202
239,CHU Poitiers Poitiers 86000,['NCT04705818'],1,,['NCT04705818'],,"46.5568835, 0.3829202",46.5568835,0.3829202
240,CHU Poitiers ( Site 0612) Poitiers 86021,['NCT03742895'],1,,,['NCT03742895'],"46.5568835, 0.3829202",46.5568835,0.3829202
